ogc_fid,id,canton_id,income,houses,electricity_per_household,consumed_electricity,max_consumed_electricity,area_per_household,persons_per_household,total_funding,total_price,debt,debt_rate
44,1005,10,68748.08333,1434.333333,21138.41937,3705.668323,3900.703498,133.0814339,3.041666667,9285.830659,12512.08921,3226.258548,0.257851306
140,2402,24,53295.66667,13124.66667,22566.12459,3552.367481,3739.334191,148.7313665,3,6777.426242,13983.46914,7206.042901,0.515325834
36,600,6,79368.57143,5215.285714,16616.71676,3706.475811,3901.553485,117.3429322,3,5600.359958,11032.38215,5432.022187,0.492370742
103,2011,20,62916.16667,4500.583333,18865.82771,3722.412776,3918.329237,126.977483,3.083333333,7213.986733,11938.20616,4724.219424,0.395722721
42,1003,10,62148,2039.16,20121.45214,3776.950575,3975.737448,127.4156219,3,8967.128735,11979.39924,3012.270502,0.251454221
115,2108,21,44327.625,733.75,60227.02828,3333.971401,3509.44358,437.1685152,2.875,18893.81932,41101.83741,22208.01809,0.540316917
47,1101,11,61696.125,2518.5,20640.29206,3558.30509,3745.584305,135.0553359,3,9396.862643,12697.6721,3300.809454,0.259953906
5,105,1,66214.63636,8349.363636,11501.44341,3644.0859,3835.879894,76.78010595,3,4879.253973,7218.734473,2339.4805,0.324084576
20,248,2,53800.71429,2354.714286,35588.37197,3483.658429,3667.008873,229.4752804,3,9805.323016,21574.87408,11769.55106,0.545521194
43,1004,10,68640.72222,2832.111111,18644.75036,3947.291309,4155.043483,114.4703203,3.111111111,8238.955518,10762.30408,2523.348562,0.234461742
53,1107,11,71619.6,2935.466667,15897.70173,3492.266859,3676.070378,105.1962348,3,7717.288207,9890.370392,2173.082185,0.219716967
6,106,1,91023.66667,10080.5,9558.898377,3542.316757,3728.754481,65.96715611,3,4473.768354,6202.119391,1728.351037,0.278671036
107,2015,20,61610.44444,2967.777778,23708.27727,3823.21792,4024.439916,157.1623616,3.055555556,8572.306272,14776.13691,6203.830639,0.419854707
8,108,1,70782.18182,5288.727273,15790.61411,3637.35733,3828.797189,106.0776719,3,5977.912697,9973.241605,3995.328908,0.400604845
109,2102,21,47182.33333,1877.333333,30346.7839,3503.749588,3688.157461,212.9663281,3,10486.23731,20022.73057,9536.493266,0.476283354
16,244,2,53277.2766,1673.87234,24418.90004,3533.623071,3719.603232,166.4582558,3.021276596,7442.184592,15650.12101,8207.93642,0.524464725
86,1826,18,68612.55556,2813.777778,14579.26383,3601.608576,3791.166922,96.15809135,3,5605.928426,9040.619576,3434.691151,0.379917673
88,1828,18,48951.78571,591.7857143,29193.7136,3326.482131,3501.560138,206.2705959,2.928571429,9735.147345,19393.20925,9658.061909,0.498012566
89,1829,18,52573.4,7993.2,24888.47344,3181.275459,3348.711009,159.0158256,3,7963.09346,14950.39643,6987.302972,0.467365732
31,502,5,59253,2201,5634.641072,3390.930259,3569.400273,39.50076905,3,4481.278839,3713.794866,-767.4839737,-0.206657611
108,2101,21,57212.29412,2983.941176,17831.70881,3526.014775,3711.5945,113.9510578,3,6773.164669,10713.48391,3940.319238,0.367790653
24,312,3,74773.11765,5723.470588,10943.90729,3680.446949,3874.154683,75.17235734,3.058823529,4818.9634,7067.576694,2248.613294,0.318159023
97,1906,19,65552.33333,1719,18357.18312,3667.151187,3860.159144,122.5763805,3,5796.61427,11524.42202,5727.807751,0.497014752
67,1405,14,61175.5,1349.25,23373.92655,3472.263571,3655.014285,156.2188621,3,8529.848796,14687.4307,6157.581906,0.419241597
